     59107,     59309,     57500,     57616,     59370,     57949,     59356,     58923,     61050,     57044,     63025,     57670,     57469,     62263,     59086,     59826,     56841,     57991,     56161,     60021,     57201,     57767,     58780,     61454,     57389,     57609,     58423,     59352,     60036,     61014,     57476,     58702,     59066,     58221,     64985,     61109,     57878,     58426,     59778,     59447,     57824,     58381,     58590,     57808,     58012,     60209,     59943,     57501,     57117,     57378,     57385,     56878,     56616,     58541,     56574,     56762,     56915,     56930,     56910,     56666,     60112,     56936,     56698,     58581,     58333,     56930,     57161,     57773,     57368,     58626,     57350,     59263,     56916,     59361,     57246,     58447,     56917,     56895,     56803,     57306,     58549,     59158,     57146,     57050,     60984,     57179,     57425,     56530,     58251,     56640,
    132951,    131796,    131829,    131193,    131479,    133556,    131263,    132332,    137772,    132263,    137837,    134783,    131959,    134688,    133298,    134694,    131485,    132393,    131906,    132797,    131828,    134052,    131489,    135787,    132019,    134796,    131475,    134778,    132214,    134945,    132699,    132360,    130792,    134023,    134414,    133204,    137477,    134171,    132180,    132451,    132151,    132482,    132266,    132773,    132399,    132297,    132903,    134565,    131857,    131981,    131703,    131934,    131099,    131326,    133231,    131586,    131276,    131493,    131277,    131419,    131425,    133487,    131274,    131262,    131529,    133094,    133970,    131673,    131320,    131457,    133265,    132300,    131439,    133004,    133439,    131690,    131394,    133651,    132983,    131277,    131767,    132289,    132819,    131419,    131662,    134358,    133333,    131760,    131336,    131514,
   2606041,   2606098,   2605228,   2604632,   2606534,   2605359,   2605108,   2604067,   2608508,   2605511,   2609271,   2605056,   2605657,   2609494,   2607250,   2609393,   2604566,   2606873,   2604023,   2605250,   2604608,   2609005,   2603175,   2609526,   2604958,   2605149,   2606513,   2607139,   2604953,   2608229,   2606348,   2606171,   2603791,   2605698,   2607856,   2608351,   2606135,   2605701,   2604237,   2605615,   2604438,   2606642,   2605075,   2606887,   2605549,   2604612,   2607852,   2606380,   2604630,   2605116,   2605921,   2605379,   2605416,   2605024,   2603161,   2603349,   2602932,   2604147,   2604118,   2605714,   2606155,   2605699,   2603865,   2606998,   2604622,   2604379,   2604655,   2603777,   2605870,   2604087,   2604042,   2605785,   2608141,   2603548,   2604395,   2606580,   2605413,   2605244,   2605327,   2604087,   2605451,   2606411,   2604369,   2605967,   2606354,   2604641,   2604977,   2604343,   2604656,   2604185,
     66124,     66712,     66742,     68254,     66592,     67552,     70205,     66509,     72009,     66209,     68317,     66489,     67740,     69732,     66925,     68669,     65628,     69494,     66758,     67161,     66051,     67154,     65566,     71249,     66148,     66498,     66049,     69908,     66888,     69392,     68275,     66929,     67952,     70824,     69396,     70353,     66894,     68481,     67162,     67087,     68229,     66948,     66652,     66535,     68476,     66294,     66941,     66330,     67739,     66353,     67168,     66212,     65599,     65657,     66680,     66319,     67839,     65712,     65701,     65585,     67062,     66540,     65888,     66302,     65908,     67812,     66068,     65590,     66676,     69603,     65871,     66230,     65747,     67496,     65946,     65561,     65719,     67840,     65898,     65607,     66219,     65917,     67310,     65798,     65765,     65819,     68056,     65631,     65348,     65463,
    157154,    160048,    157776,    157504,    158266,    161080,    160267,    157994,    162311,    158120,    162272,    158894,    158250,    160847,    159435,    160186,    159071,    158431,    157732,    158504,    157291,    159649,    157065,    161688,    157254,    158408,    157190,    159381,    157495,    162211,    158471,    158048,    156639,    162683,    160432,    158814,    157313,    157762,    157687,    159438,    158434,    159660,    158110,    157612,    157786,    160096,    158378,    157586,    157286,    157226,    157597,    158162,    157718,    156837,    156977,    156698,    158821,    157320,    156753,    156517,    156695,    156849,    156744,    157410,    158361,    156926,    157109,    156545,    158573,    156774,    157370,    160439,    159463,    157204,    157170,    157041,    156741,    158218,    156624,    157132,    157928,    158554,    158887,    157680,    157313,    159987,    158453,    156397,    157193,    156618,
   2314366,   2314303,   2313303,   2312110,   2316346,   2314805,   2314223,   2313225,   2315972,   2314287,   2316749,   2314642,   2312673,   2317336,   2312524,   2314745,   2312525,   2314127,   2311387,   2313676,   2312826,   2314557,   2314158,   2316000,   2312543,   2312145,   2315004,   2316523,   2313566,   2315620,   2314766,   2313870,   2310804,   2313091,   2315612,   2314153,   2313521,   2312796,   2314500,   2314059,   2313629,   2315373,   2314327,   2313528,   2314167,   2312908,   2315042,   2313443,   2312464,   2316191,   2312494,   2312552,   2311792,   2312044,   2311845,   2312006,   2311834,   2312136,   2314465,   2312111,   2312364,   2313567,   2313639,   2314134,   2312095,   2311467,   2314903,   2312613,   2312719,   2312424,   2312557,   2312359,   2312142,   2313100,   2312357,   2313271,   2311805,   2312055,   2313474,   2315554,   2312087,   2313310,   2311625,   2314445,   2312285,   2314904,   2312626,   2313391,   2311585,   2313089,
    143956,    136996,    144847,    145151,    136652,    145310,    143140,    142646,    143478,    144629,    137750,    144110,    146112,    148420,    142273,    145049,    135560,    145151,    134658,    143781,    136147,    141169,    141698,    145551,    136161,    136238,    142683,    146955,    136839,    147904,    142131,    144479,    144015,    144785,    138727,    143571,    143779,    142730,    136356,    144628,    142482,    142905,    142699,    142608,    138657,    142268,    137160,    142678,    143883,    143295,    135818,    143009,    141338,    141291,    141817,    143985,    141527,    141812,    141578,    135312,    136767,    135302,    141715,    135431,    142212,    143443,    142869,    141297,    135433,    146479,    135731,    141993,    135472,    137240,    141837,    135290,    142002,    137313,    141215,    135661,    136148,    144872,    142544,    138108,    143297,    143612,    142044,    141329,    142029,    144214,
    141019,    142612,    141334,    142000,    141610,    144456,    140737,    140771,    144371,    144836,    145212,    143122,    140773,    143981,    141135,    145208,    140767,    141904,    140423,    144533,    140851,    141868,    140087,    145322,    140896,    143182,    140617,    142800,    140689,    145721,    140399,    141514,    139597,    141417,    145615,    142359,    141141,    143183,    142922,    141488,    141124,    141672,    141511,    142390,    143452,    141904,    142206,    140944,    140627,    143014,    140593,    141299,    140003,    140074,    139966,    134330,    140008,    140269,    140230,    140173,    140244,    143098,    139995,    141690,    140299,    140249,    140667,    140932,    140399,    140855,    140599,    140702,    142728,    142278,    140720,    140173,    140522,    140195,    141975,    140866,    142413,    140893,    135892,    141115,    140755,    140461,    142425,    142314,    139816,    140148,
    211452,    211717,    212843,    214060,    211579,    211772,    212747,    211229,    217038,    213921,    213605,    212775,    212388,    214377,    211206,    213933,    213514,    212108,    209708,    212145,    210754,    213327,    212165,    212999,    210704,    214528,    210644,    214817,    211080,    214186,    212480,    211899,    212069,    211337,    215502,    214735,    211088,    211182,    211242,    211151,    211973,    211383,    211215,    211215,    211268,    210910,    211945,    210997,    212819,    211366,    211988,    210532,    210299,    210198,    210586,    210375,    210127,    210151,    211571,    210480,    211890,    210252,    212189,    210015,    210921,    210276,    212099,    210906,    210775,    210171,    210735,    212505,    210258,    212388,    211523,    211726,    210208,    210355,    209966,    211240,    209962,    211000,    210776,    212777,    210598,    212330,    210768,    210066,    211482,    210088,
    214797,    215265,    217161,    216871,    215305,    215736,    214788,    216004,    220672,    216930,    217608,    217030,    217097,    220269,    215252,    217390,    214810,    215714,    215269,    216127,    215146,    215561,    215796,    217583,    215077,    216365,    216974,    217655,    217166,    218205,    216290,    215750,    214052,    215516,    220054,    218430,    216053,    215482,    215679,    217887,    216285,    216311,    215540,    215295,    215567,    215482,    216161,    216386,    215176,    217467,    215435,    214888,    214686,    214639,    216726,    214503,    213899,    214434,    214357,    214324,    215958,    215391,    215052,    214718,    216319,    216571,    214901,    214763,    215577,    214660,    214826,    215893,    215946,    216377,    214902,    214741,    214643,    216318,    214457,    216545,    214357,    216602,    214393,    214535,    214769,    214721,    216572,    214268,    214312,    214330,
